Student Name,Gender,Student No.,Gapps Account,,,Grade,Course 1,Course 1 Title,Course 1 Credit Value,Course 2,Course 2 Title,Course 2 Credit Value,Course 3,Course 3 Title,Course 3 Credit Value,Course 4,Course 4 Title,Course 4 Credit Value,Course 5,Course 5 Title,Course 5 Credit Value,Course 6,Course 6 Title,Course 6 Credit Value,Course 7,Course 7 Title,Course 7 Credit Value,Course 8,Course 8 Title,Course 8 Credit Value,Course 9,Course 9 Title,Course 9 Credit Value,Course 10,Course 10 Title,Course 10 Credit Value,Course 11,Course 11 Title,Course 11 Credit Value,Total Courses,Alternate Course 1,Alternate Course 1 Title,Alternate Course 1 Credit Value,Alternate Course 2,Alternate Course 2 Title,Alternate Course 2 Credit Value,Alternate Course 3,Alternate Course 3 Title,Alternate Course 3 Credit Value
"Odella,Olympia",M,443258141,443258141@gapps.yrdsb.ca,,,12,ENG3CK,English,1,GWL3OK,Designing Your Future,1,MFM2PK,Foundations of Mathematics,1,QUAD3A,QUAD 3 SEM 2 - A.M.,0,QUAD3P,QUAD 3 SEM 2 - P.M.,0,QUAD4A,QUAD 4 SEM 2 - A.M.,0,QUAD4P,QUAD 4 SEM 2 - P.M.,0,SNC1PK,Science,1,,,,,,,,,,8,,,,,,,,,
"Blanch,Cody",M,492458604,492458604@gapps.yrdsb.ca,,,9,CGC1P1,Geography of Canada,1,ESLBO1,"English as a Second Language, Level 2",1,ESLCO1,"English as a Second Language, Level 3",1,FSF1O1,Core French,1,MTH1W1,Mathematics,1,PPL1O9,Healthy Active Living-Male,1,SNC1DL,Science,1,TIJ1O1,Exploring Technologies,1,,,,,,,,,,8,HIF1O1,"Individual, Family and Social Living (Alternate)",1,BTT1O1,Information and Communication Techn (Alternate),1,,,
"Fayina,Laverna",F,492562704,492562704@gapps.yrdsb.ca,,,10,AVI2O1,Visual Arts,1,AWC2O1,Visual Arts- Ceramics,1,BBI2O1,Introduction to Business,1,CHC2D1,Canadian History Since World War I,1,CHV2O1,Civics and Citizenship,0.5,ENG2D1,English,1,GLC2O1,Career Studies,0.5,MPM2D1,Principles of Mathematics,1,SNC2D1,Science,1,,,,,,,9,PPL2O8,Healthy Active Living Education-Female (Alternate),1,,,,,,
"Alia,Modesty",F,450912451,450912451@gapps.yrdsb.ca,,,12,FSF4U1,Core French,1,HFA4U1,Nutrition and Health,1,MCV4U1,Calculus and Vectors,1,MHF4U1,Advanced Functions,1,SBI4U1,Biology,1,SPH4U1,Physics,1,,,,,,,,,,,,,,,,6,CPW4U1,Canadian and World Politics (Alternate),1,CIA4U1,Analysing Current Economic Issues (Alternate),1,,,
"Perri,Davita",M,499037881,499037881@gapps.yrdsb.ca,,,11,BAF3M1,Financial Accounting Fundamentals,1,BBB4M1,International Business Fundamentals,1,BMI3C1,"Marketing:Goods, Services, Events",1,ENG3U1,English,1,HSP3U1,"Introduction to Anthropology, Psychology & Sociology",1,MCR3U1,Functions,1,PPL3O9,Healthy Active Living Education-Male,1,TEJ2O1,Computer Technology,1,,,,,,,,,,8,,,,,,,,,
"Marie-Jeanne,Bette",F,407208554,407208554@gapps.yrdsb.ca,,,9,AMI1O4,Instrumental Music-Band,1,BTT1O1,Information and Communication Techn,1,CGC1D1,Issues in Canadian Geography,1,ENG1D1,English,1,FSF1D1,Core French,1,MTH1W1,Mathematics,1,PPL1O8,Healthy Active Living-Female,1,SNC1D1,Science,1,,,,,,,,,,8,AVI1O1,Visual Arts (Alternate),1,TIJ1O1,Exploring Technologies (Alternate),1,,,
"Edithe,Shoshanna",M,461925648,461925648@gapps.yrdsb.ca,,,12,ENG1PK,English,1,MTH1WK,Mathematics,1,QUAD3A,QUAD 3 SEM 2 - A.M.,0,QUAD3P,QUAD 3 SEM 2 - P.M.,0,QUAD4A,QUAD 4 SEM 2 - A.M.,0,QUAD4P,QUAD 4 SEM 2 - P.M.,0,,,,,,,,,,,,,,,,6,,,,,,,,,
"Crystie,Matilda",M,410404136,410404136@gapps.yrdsb.ca,,,9,BTT1O1,Information and Communication Techn,1,CGC1D1,Issues in Canadian Geography,1,ENG1D1,English,1,FSF1D1,Core French,1,MTH1W1,Mathematics,1,PPL1O9,Healthy Active Living-Male,1,SNC1D1,Science,1,TIJ1O1,Exploring Technologies,1,,,,,,,,,,8,ADA1O1,Drama (Alternate),1,HIF1O1,"Individual, Family and Social Living (Alternate)",1,,,
"Eula,Desdemona",M,482175680,482175680@gapps.yrdsb.ca,,,12,BBB4M1,International Business Fundamentals,1,BOH4M1,Business Leadership:  Management Fu,1,CIA4U1,Analysing Current Economic Issues,1,ENG4U1,English,1,IDC4U1,Interdisciplinary Studies,1,MCV4U1,Calculus and Vectors,1,,,,,,,,,,,,,,,,6,,,,,,,,,
"Faythe,Veronica",M,413718911,413718911@gapps.yrdsb.ca,,,12,CLN4U1,Canadian and International Law,1,CPW4U1,Canadian and World Politics,1,ENG4U1,English,1,HFA4U1,Nutrition and Health,1,IDC4U1,Interdisciplinary Studies,1,MCV4U1,Calculus and Vectors,1,,,,,,,,,,,,,,,,6,CGW4U1,Canadian and World Issues:  A Geogr (Alternate),1,,,,,,
"Bell,Naomi",M,429512702,429512702@gapps.yrdsb.ca,,,11,DCO3OC,Creating Opportunities through Co-o,2,ENG3C1,English,1,GLE3O1,AdvancedLearning Strategies: Skills for Success After Secondary School,1,HFC3M1,Food and Culture,1,MBF3C1,Foundations for College Mathematics,1,PAF3O9,Personal and Fitness Activities-Male,1,SBI3C1,Biology,1,,,,,,,,,,,,,7,AWC3O1,Visual Arts- Ceramics (Alternate),1,PPL3O9,Healthy Active Living Education-Male (Alternate),1,,,
"Kamilah,Marian",F,450266988,450266988@gapps.yrdsb.ca,,,11,AVI3M1,Visual Arts,1,ENG2D1,English,1,ENG3U1,English,1,HFC3M1,Food and Culture,1,MCR3U1,Functions,1,SPH3U1,Physics,1,TGJ2O1,Communications Technology,1,TGV3M1,"Communications Technology: TV, Video & Movie Production",1,ZREMOT,Remote Holding Code,0,,,,,,,9,PPL3O8,Healthy Active Living Education-Female (Alternate),1,ADA3M1,Drama (Alternate),1,,,
"Josepha,Drusy",M,495089650,495089650@gapps.yrdsb.ca,,,10,BBI2O1,Introduction to Business,1,CHC2D1,Canadian History Since World War I,1,CHV2O1,Civics and Citizenship,0.5,ENG2D1,English,1,GLC2O1,Career Studies,0.5,LWSBD1,Spanish,1,MPM2D1,Principles of Mathematics,1,PAF2O9,Personal and Fitness Activities-Male,1,SNC2D1,Science,1,,,,,,,9,HFN2O1,Food and Nutrition (Alternate),1,,,,,,
"Janeta,Kristan",M,404284534,404284534@gapps.yrdsb.ca,,,9,BTT1O1,Information and Communication Techn,1,CGC1D1,Issues in Canadian Geography,1,ENG1D1,English,1,FSF1D1,Core French,1,MTH1W1,Mathematics,1,PPL1O9,Healthy Active Living-Male,1,SNC1D1,Science,1,TIJ1O1,Exploring Technologies,1,,,,,,,,,,8,AMI1O4,Instrumental Music-Band (Alternate),1,ADB2O1,Drama - Musical Theatre (Alternate),1,,,
"Star,Allix",F,424721355,424721355@gapps.yrdsb.ca,,,10,CGC1D1,Issues in Canadian Geography,1,CHC2D1,Canadian History Since World War I,1,ENG2D1,English,1,FSF1D1,Core French,1,MPM2D1,Principles of Mathematics,1,PAF2O8,Healthy Living and Personal and Fit,1,SNC1D1,Science,1,SNC2D1,Science,1,,,,,,,,,,8,,,,,,,,,
"Gates,Constantine",M,488887407,488887407@gapps.yrdsb.ca,,,10,AMI2O1,Instrumental Music-Band,1,BBI2O1,Introduction to Business,1,CHC2D1,Canadian History Since World War I,1,CHV2O1,Civics and Citizenship,0.5,ENG2D1,English,1,GLC2O1,Career Studies,0.5,MPM2D1,Principles of Mathematics,1,SNC2D1,Science,1,TEJ2O1,Computer Technology,1,,,,,,,9,PAF2O9,Personal and Fitness Activities-Male (Alternate),1,HFN2O1,Food and Nutrition (Alternate),1,,,
"Tatum,Marta",F,488912185,488912185@gapps.yrdsb.ca,,,12,ADA4M1,Drama,1,ENG4U1,English,1,FSF4U1,Core French,1,MCV4U1,Calculus and Vectors,1,MHF4U1,Advanced Functions,1,SBI4U1,Biology,1,SCH4U1,Chemistry,1,SPH4U1,Physics,1,,,,,,,,,,8,IDC4UE,Interdisciplinary Studies (Alternate),1,HFA4U1,Nutrition and Health (Alternate),1,,,
"Rosene,Anna",F,489077129,489077129@gapps.yrdsb.ca,,,10,ADA2O1,Drama,1,CHC2D1,Canadian History Since World War I,1,CHV2O1,Civics and Citizenship,0.5,ENG2D1,English,1,GLC2O1,Career Studies,0.5,HFN2O1,Food and Nutrition,1,MPM2D1,Principles of Mathematics,1,PPL2O8,Healthy Active Living Education-Female,1,SNC2D1,Science,1,,,,,,,9,,,,,,,,,
"Lusa,Shaun",M,424010336,424010336@gapps.yrdsb.ca,,,11,CLU3M1,Understanding Canadian Law,1,ENG3UE,English,1,ICS3U1,Introduction to Computer Science,1,MCR3U1,Functions,1,SBI3U1,Biology,1,SCH3U1,Chemistry,1,SPH3U1,Physics,1,TEJ3M1,Computer Engineering Technology,1,,,,,,,,,,8,HSP3U1,"Introduction to Anthropology, Psychology & Sociology (Alternate)",1,TGV3M1,"Communications Technology: TV, Video & Movie Production (Alternate)",1,,,
"Fanchon,Dulcie",F,416589223,416589223@gapps.yrdsb.ca,,,12,BBB4M1,International Business Fundamentals,1,ENG4U1,English,1,EWC4U1,The Writer's Craft,1,HHG4M1,Issues in Human Growth and Development,1,HSB4U1,Challenge and Change in Society,1,MHF4UK,Advanced Functions,2,SBI4U1,Biology,1,,,,,,,,,,,,,7,HFA4U1,Nutrition and Health (Alternate),1,,,,,,
"Min,Gay",M,467688956,467688956@gapps.yrdsb.ca,,,11,BAF3M1,Financial Accounting Fundamentals,1,ENG3U1,English,1,HSP3U1,"Introduction to Anthropology, Psychology & Sociology",1,ICS3U1,Introduction to Computer Science,1,MCR3U1,Functions,1,SCH3U1,Chemistry,1,SPH3U1,Physics,1,TEJ3M1,Computer Engineering Technology,1,,,,,,,,,,8,TDJ3M1,Technological Design (Alternate),1,CLU3M1,Understanding Canadian Law (Alternate),1,,,
"Malvina,Freddie",M,455249309,455249309@gapps.yrdsb.ca,,,10,BBI2O7,Introduction to Business,1,CHC2D1,Canadian History Since World War I,1,CHV2O1,Civics and Citizenship,0.5,ENG2D1,English,1,FSF2D1,Core French,1,GLC2O1,Career Studies,0.5,IDC3OE,Interdisciplinary Studies,1,MPM2D1,Principles of Mathematics,1,SNC2D1,Science,1,,,,,,,9,AVI2O1,Visual Arts (Alternate),1,ADA2O1,Drama (Alternate),1,,,
"Katerine,Miranda",F,481980471,481980471@gapps.yrdsb.ca,,,12,ALEP2B,ALEP SEM 2-2 CREDITS OUT,0,ALEP2O,ALEP SEM 2 - 1 CREDIT OUT,0,ENG4U1,English,1,HHG4MB,Issues in Human Growth and Developm,2,MDM4UK,Mathematics and Data Management,1,PSK4UK,Introductory Kinesiology,1,SBI4UO,Biology,1,YYY4X1,Dual Credit - College-Delivered,0,,,,,,,,,,8,,,,,,,,,
"Sherline,Henka",M,494835622,494835622@gapps.yrdsb.ca,,,9,AVI1O1,Visual Arts,1,CGC1P1,Geography of Canada,1,ENG1D1,English,1,FSF1P1,Core French,1,GLE1O1,Learning Strategies 1: Skills for Success in Secondary School,1,MTH1W1,Mathematics,1,PPL1O9,Healthy Active Living-Male,1,SNC1P1,Science,1,,,,,,,,,,8,ICS2O1,Introduction to Computer Studies (Alternate),1,ADA1O1,Drama (Alternate),1,,,
"Othella,Eleanor",M,480247391,480247391@gapps.yrdsb.ca,,,9,AVI1O1,Visual Arts,1,CGC1D1,Issues in Canadian Geography,1,ESLDO1,"English as a Second Language, Level 4",1,ESLEO1,"English as a Second Language, Level 5",1,FSF1O1,Core French,1,MTH1W1,Mathematics,1,PPL1O9,Healthy Active Living-Male,1,SNC1D1,Science,1,,,,,,,,,,8,,,,,,,,,
"Alvina,Deeyn",F,465170682,465170682@gapps.yrdsb.ca,,,10,BBI2O1,Introduction to Business,1,CHC2D1,Canadian History Since World War I,1,CHV2O1,Civics and Citizenship,0.5,ENG2D1,English,1,FSF2D1,Core French,1,GLC2O1,Career Studies,0.5,HFN2O1,Food and Nutrition,1,MPM2D1,Principles of Mathematics,1,SNC2D1,Science,1,,,,,,,9,TEJ2O1,Computer Technology (Alternate),1,ICS2O1,Introduction to Computer Studies (Alternate),1,,,
"Sharon,Tory",F,449296443,449296443@gapps.yrdsb.ca,,,9,KENAND,Language and Communication Developm,0,KGLAND,Personal Life Skills,0,KMMAND,Numeracy and Numbers,0,KPFAND,Personal Health and Fitness,0,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
"Annelise,Rhiamon",F,486471357,486471357@gapps.yrdsb.ca,,,9,KCCAND,Life Skills,0,KENAND,Language and Communication Developm,0,KMMAND,Numeracy and Numbers,0,KPFAND,Personal Health and Fitness,0,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
"Camellia,Carlen",M,434430051,434430051@gapps.yrdsb.ca,,,9,ADA1O1,Drama,1,AMR1O1,Repertoire,1,AVI1O1,Visual Arts,1,CGC1D1,Issues in Canadian Geography,1,ENG1D1,English,1,FSF1D1,Core French,1,MTH1W1,Mathematics,1,PAI1O1,Individual & Small Group Activities,1,SNC1D1,Science,1,,,,,,,9,,,,,,,,,
"Fayette,Eadie",M,457129087,457129087@gapps.yrdsb.ca,,,12,ADA4M1,Drama,1,ADB4M1,Drama - Musical Theatre,1,HZT4U1,Philosophy: Questions and Theories,1,ICS4U1,Computer Science,1,MCV4U1,Calculus and Vectors,1,SPH4U1,Physics,1,TEJ4M1,Computer Engineering Technology,1,,,,,,,,,,,,,7,SCH4U1,Chemistry (Alternate),1,,,,,,
"Edyth,Faina",F,460240597,460240597@gapps.yrdsb.ca,,,11,CIE3M1,The Individual and the Economy,1,DCO3OC,Creating Opportunities through Co-o,2,ENG3UE,English,1,HSP3U1,"Introduction to Anthropology, Psychology & Sociology",1,IDC3O1,Interdisciplinary Studies,1,SBI4UE,Biology,1,SCH3U6,Chemistry,1,,,,,,,,,,,,,7,CLN4U1,Canadian and International Law (Alternate),1,,,,,,
"Sheila-Kathryn,Faye",M,455387196,455387196@gapps.yrdsb.ca,,,12,ENG4UE,English,1,MCV4U1,Calculus and Vectors,1,MHF4U1,Advanced Functions,1,PSK4U1,Introductory Kinesiology,1,SBI4U1,Biology,1,SCH4U1,Chemistry,1,,,,,,,,,,,,,,,,6,,,,,,,,,
"Gayel,Lenna",M,421611004,421611004@gapps.yrdsb.ca,,,9,KENANR,Language and Communication Developm,0,KGLANR,Personal Life Skills,0,KMMANR,Numeracy and Numbers,0,KPHANR,Choice Making for Healthy Living,0,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
"Saudra,Aleda",M,450209027,450209027@gapps.yrdsb.ca,,,12,GWL3OK,Designing Your Future,1,HFA4U1,Nutrition and Health,1,PPL4O9,Healthy Active Living Education,1,PPZ3CK,Health for Life,1,PSK4U1,Introductory Kinesiology,1,ZREMOT,Remote Holding Code,0,,,,,,,,,,,,,,,,6,TGV4M1,"Communications Technology: TV, Video & Movie Production (Alternate)",1,,,,,,
"Laurice,Brier",F,452475110,452475110@gapps.yrdsb.ca,,,12,ADB4M1,Drama - Musical Theatre,1,CGW4UE,World Issues:  A Geographic Perspective,1,ENG4U1,English,1,GLE4O1,Advanced Learning Strategies:Skills for Success After Secondary School (Identifi,1,HSB4U1,Challenge and Change in Society,1,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
"Elaina,Arabele",M,401429986,401429986@gapps.yrdsb.ca,,,11,HFC3M1,Food and Culture,1,HHG4M1,Issues in Human Growth and Development,1,HSP3U1,"Introduction to Anthropology, Psychology & Sociology",1,IDC3O1,Interdisciplinary Studies,1,MCR3U1,Functions,1,PAF3O9,Personal and Fitness Activities-Male,1,SCH3U1,Chemistry,1,SPH4U1,Physics,1,,,,,,,,,,8,HSG3M1,Gender Studies (Alternate),1,,,,,,
"Lucita,Stafani",M,470760931,470760931@gapps.yrdsb.ca,,,11,BMI3C1,"Marketing:Goods, Services, Events",1,CIE3M1,The Individual and the Economy,1,CLU3M1,Understanding Canadian Law,1,ENG3U1,English,1,HSP3U1,"Introduction to Anthropology, Psychology & Sociology",1,MCR3U1,Functions,1,PAF3O9,Personal and Fitness Activities-Male,1,TGV3M1,"Communications Technology: TV, Video & Movie Production",1,,,,,,,,,,8,,,,,,,,,
"Nicholle,Chelsae",F,496563229,496563229@gapps.yrdsb.ca,,,9,ADA1O1,Drama,1,BTT1O1,Information and Communication Techn,1,CGC1DG,Issues in Canadian Geography,1,ENG1DG,English,1,FSF1DG,Core French,1,MTH1WG,Mathematics,1,PPL1O8,Healthy Active Living-Female,1,SNC1DG,Science,1,,,,,,,,,,8,HIF1O1,"Individual, Family and Social Living (Alternate)",1,AVI1O1,Visual Arts (Alternate),1,,,
"Maurene,Ora",M,489498950,489498950@gapps.yrdsb.ca,,,9,ADA1O1,Drama,1,AVI1O1,Visual Arts,1,CGC1P1,Geography of Canada,1,ENG1D1,English,1,FSF1P1,Core French,1,MTH1W1,Mathematics,1,PPL1O9,Healthy Active Living-Male,1,SNC1D1,Science,1,,,,,,,,,,8,AWC2O1,Visual Arts- Ceramics (Alternate),1,,,,,,
"Moreen,Koren",F,476948085,476948085@gapps.yrdsb.ca,,,12,AWC4M1,Visual Arts- Ceramics,1,BBB4M1,International Business Fundamentals,1,ENG4UK,English,1,IDC4U1,Interdisciplinary Studies,1,QUAD3P,QUAD 3 SEM 2 - P.M.,0,QUAD4P,QUAD 4 SEM 2 - P.M.,0,,,,,,,,,,,,,,,,6,AWS4M1,Visual Arts - Digital Media (Alternate),1,,,,,,
"Ainsley,Alfie",M,460799387,460799387@gapps.yrdsb.ca,,,9,AVI1O1,Visual Arts,1,CGC1D1,Issues in Canadian Geography,1,ENG1D1,English,1,FSF1O1,Core French,1,MTH1W1,Mathematics,1,PPL1O9,Healthy Active Living-Male,1,SNC1D1,Science,1,TIJ1O1,Exploring Technologies,1,,,,,,,,,,8,,,,,,,,,
"Bernardine,Joyan",F,468922181,468922181@gapps.yrdsb.ca,,,12,AVI4M1,Visual Arts,1,ENG4U1,English,1,HSB4U1,Challenge and Change in Society,1,MHF4U1,Advanced Functions,1,SBI4U1,Biology,1,SCH4U1,Chemistry,1,,,,,,,,,,,,,,,,6,HHG4M1,Issues in Human Growth and Development (Alternate),1,,,,,,
"Loise,Marina",F,492321230,492321230@gapps.yrdsb.ca,,,10,AVI2O1,Visual Arts,1,AWC2O1,Visual Arts- Ceramics,1,CHC2P1,Canadian History Since World War I,1,CHV2O1,Civics and Citizenship,0.5,ENG2D1,English,1,GLC2O1,Career Studies,0.5,HFN2O1,Food and Nutrition,1,MFM2P1,Foundations of Mathematics,1,SNC2P1,Science,1,,,,,,,9,AWJ2O1,Visual Arts- Stage Design (Alternate),1,ADA2O1,Drama (Alternate),1,,,
"Nicholle,Alana",F,465053383,465053383@gapps.yrdsb.ca,,,10,AWJ2O1,Visual Arts- Stage Design,1,BBI2O1,Introduction to Business,1,CHC2D1,Canadian History Since World War I,1,ENG2D1,English,1,FSF2D1,Core French,1,HFN2O1,Food and Nutrition,1,MPM2D1,Principles of Mathematics,1,SNC2D1,Science,1,,,,,,,,,,8,AWQ3M1,Visual Arts - Photography (Alternate),1,,,,,,
"Shayne,Trixi",F,407570260,407570260@gapps.yrdsb.ca,,,12,ADA4M1,Drama,1,BBB4M1,International Business Fundamentals,1,CGW4U1,Canadian and World Issues:  A Geogr,1,CLN4U1,Canadian and International Law,1,HHG4M1,Issues in Human Growth and Development,1,HZT4U1,Philosophy: Questions and Theories,1,,,,,,,,,,,,,,,,6,,,,,,,,,
"Sileas,Melinde",M,418940412,418940412@gapps.yrdsb.ca,,,12,KCCEND,Life Skills,0,KENEND,Language and Communication Developm,0,KMMEND,Numeracy and Numbers,0,KPFEND,Personal Health and Fitness,0,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
